node_id,sender,asn,time,channel,is_eb
9958,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.506825,21,0
2087,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.508453,21,0
9460,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.511504,21,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.513409,21,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x0000019ccf,2017-09-02 11:29:48.567462,21,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000019d34,2017-09-02 11:29:49.836557,26,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x0000019d34,2017-09-02 11:29:49.899465,26,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x0000019d34,2017-09-02 11:29:49.944252,26,0
2087,05-43-32-ff-03-dd-85-61 (64b),0x0000019d34,2017-09-02 11:29:49.97704,26,0
2887,05-43-32-ff-03-dd-85-61 (64b),0x0000019d34,2017-09-02 11:29:49.99228,26,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x0000019d34,2017-09-02 11:29:49.993114,26,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x0000019d34,2017-09-02 11:29:50.017316,26,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x0000019d34,2017-09-02 11:29:50.017865,26,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000019d99,2017-09-02 11:29:51.406526,11,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000019ddd,2017-09-02 11:29:52.740216,14,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000019dfe,2017-09-02 11:29:53.027462,20,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000019e20,2017-09-02 11:29:53.38426,16,1
8561,05-43-32-ff-04-da-28-87 (64b),0x0000019ec8,2017-09-02 11:29:55.999462,19,0
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000019eea,2017-09-02 11:29:56.47831,12,1
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000019f2d,2017-09-02 11:29:57.486305,14,1
8561,05-43-32-ff-04-da-28-87 (64b),0x0000019f71,2017-09-02 11:29:58.831483,17,1
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001a05c,2017-09-02 11:30:01.994892,24,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001a0e3,2017-09-02 11:30:04.076316,18,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001a148,2017-09-02 11:30:05.595273,19,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001a212,2017-09-02 11:30:08.758534,23,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001a2dc,2017-09-02 11:30:11.803527,24,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001a2fe,2017-09-02 11:30:12.490848,20,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x000001a31f,2017-09-02 11:30:12.756248,21,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001a3a6,2017-09-02 11:30:14.707466,25,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001a3e9,2017-09-02 11:30:15.827508,11,0
8561,05-43-32-ff-04-da-28-87 (64b),0x000001a40b,2017-09-02 11:30:16.228443,13,1
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001a492,2017-09-02 11:30:18.459473,23,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001a4f7,2017-09-02 11:30:20.044567,22,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001a53a,2017-09-02 11:30:20.830487,12,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001a55c,2017-09-02 11:30:21.496292,24,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001a57d,2017-09-02 11:30:21.98828,14,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001a626,2017-09-02 11:30:24.539473,25,1
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001a647,2017-09-02 11:30:25.032266,22,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001a68b,2017-09-02 11:30:26.003472,13,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001a776,2017-09-02 11:30:29.342342,25,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001a798,2017-09-02 11:30:29.911461,19,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001a840,2017-09-02 11:30:32.383686,16,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001a90a,2017-09-02 11:30:35.470616,12,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001a92c,2017-09-02 11:30:35.982809,24,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001a94e,2017-09-02 11:30:36.798524,20,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001a9d4,2017-09-02 11:30:38.544263,26,1
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001a9f6,2017-09-02 11:30:39.024515,25,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001aae2,2017-09-02 11:30:42.875493,23,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001ac54,2017-09-02 11:30:48.235476,26,1
8561,05-43-32-ff-04-da-28-87 (64b),0x000001acb9,2017-09-02 11:30:49.649554,11,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001ad40,2017-09-02 11:30:51.946909,16,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x000001adc6,2017-09-02 11:30:53.707463,25,0
8561,05-43-32-ff-03-d9-94-60 (64b),0x000001ae0a,2017-09-02 11:30:54.926953,12,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001ae4d,2017-09-02 11:30:55.86303,14,1
8561,05-43-32-ff-03-d9-94-60 (64b),0x000001ae6f,2017-09-02 11:30:56.558357,21,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001ae90,2017-09-02 11:30:56.967926,16,0
8561,05-43-32-ff-04-da-28-87 (64b),0x000001aeb2,2017-09-02 11:30:57.202345,23,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001af17,2017-09-02 11:30:58.896334,22,1
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001af39,2017-09-02 11:30:59.590496,11,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001af7c,2017-09-02 11:31:00.417681,24,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001afbf,2017-09-02 11:31:01.280267,21,1
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001afe1,2017-09-02 11:31:01.818492,17,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001b003,2017-09-02 11:31:02.523471,18,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001b024,2017-09-02 11:31:03.007467,26,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x000001b068,2017-09-02 11:31:04.099472,19,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001b110,2017-09-02 11:31:06.491465,16,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001b132,2017-09-02 11:31:07.183467,23,0
8561,05-43-32-ff-04-da-28-87 (64b),0x000001b175,2017-09-02 11:31:08.002887,15,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001b197,2017-09-02 11:31:08.699465,22,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x000001b1da,2017-09-02 11:31:09.58636,12,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:10.87551,21,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:10.959726,21,0
2887,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:10.968258,21,0
2087,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:10.986299,21,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:10.999466,21,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:11.062414,21,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:11.063043,21,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:11.070924,21,0
9460,05-43-32-ff-03-dd-85-61 (64b),0x000001b23f,2017-09-02 11:31:11.071091,21,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x000001b282,2017-09-02 11:31:12.07947,23,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001b2c6,2017-09-02 11:31:13.215473,25,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x000001b309,2017-09-02 11:31:14.07233,11,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001b32b,2017-09-02 11:31:14.763469,13,1
8561,05-43-32-ff-03-d9-94-60 (64b),0x000001b34c,2017-09-02 11:31:15.070065,24,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001b3f5,2017-09-02 11:31:17.84347,15,1
8561,05-43-32-ff-04-da-28-87 (64b),0x000001b416,2017-09-02 11:31:18.115462,25,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001b49d,2017-09-02 11:31:20.039472,14,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001b524,2017-09-02 11:31:22.220553,26,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001b545,2017-09-02 11:31:22.520255,15,1
8561,05-43-32-ff-03-d7-86-62 (64b),0x000001b5aa,2017-09-02 11:31:24.188271,12,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.356325,20,1
3587,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.382392,20,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.384173,20,1
2087,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.388401,20,1
2887,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.390887,20,1
8662,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.391465,20,1
9460,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.418667,20,1
9958,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.420203,20,1
a150,05-43-32-ff-03-dd-85-61 (64b),0x000001b5ee,2017-09-02 11:31:25.434565,20,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001b674,2017-09-02 11:31:27.378319,26,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001b6fb,2017-09-02 11:31:29.287471,13,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001b71d,2017-09-02 11:31:29.983471,14,1
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001b73e,2017-09-02 11:31:30.522313,20,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001b760,2017-09-02 11:31:30.652358,16,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001b7c5,2017-09-02 11:31:32.203476,15,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001b916,2017-09-02 11:31:37.414898,25,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001b959,2017-09-02 11:31:38.274909,11,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001ba01,2017-09-02 11:31:41.000543,17,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001ba23,2017-09-02 11:31:41.267463,18,1
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001bacb,2017-09-02 11:31:43.888397,13,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x000001baed,2017-09-02 11:31:44.359476,14,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001bb52,2017-09-02 11:31:45.892588,23,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x000001bbd9,2017-09-02 11:31:48.167469,11,0
9958,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:48.951017,24,0
2887,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:48.963484,24,0
2084,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:48.971518,24,0
2087,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:48.983459,24,0
a150,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:48.996051,24,0
3587,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:49.051372,24,0
8662,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:49.051994,24,0
8961,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:49.052598,24,0
9460,05-43-32-ff-03-dd-85-61 (64b),0x000001bc1c,2017-09-02 11:31:49.053181,24,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001bca3,2017-09-02 11:31:51.143473,18,1
